fecha,dia_semana,semana,dolar_b,dolar_o,brecha_s,brecha,db_var,do_var,brecha_var,evento_p,evento_t
2010-05-29,Saturday,2010-21,3.9616666666666664,3.916666666666667,0.044999999999999485,1.1489361702127443,0.042087542087543284,0.17050298380221207,-0.12983620830386844,,
2010-05-30,Sunday,2010-21,3.9633333333333334,3.9233333333333333,0.040000000000000036,1.0195412064570863,0.04206983592764946,0.17021276595743373,-0.12939496375565795,,
2010-05-31,Monday,2010-22,3.965,3.93,0.0349999999999997,0.8905852417302684,0.0420521446593769,0.1699235344095218,-0.12895596472681792,,
2010-06-01,Tuesday,2010-22,3.9775,3.93,0.047499999999999876,1.2086513994910897,0.31525851197982124,0.0,0.31806615776082126,,
2010-06-02,Wednesday,2010-22,3.995,3.93,0.06499999999999995,1.653944020356235,0.4399748585795171,0.0,0.4452926208651453,,
2010-06-03,Thursday,2010-22,3.9975,3.92,0.07750000000000012,1.9770408163265252,0.06257822277846437,-0.2544529262086592,0.3230967959702902,,
2010-06-04,Friday,2010-22,4.0,3.92,0.08000000000000007,2.0408163265306145,0.0625390869293252,0.0,0.06377551020408934,,
2010-06-05,Saturday,2010-22,3.9966666666666666,3.9233333333333333,0.07333333333333325,1.869158878504673,-0.08333333333333526,0.08503401360544505,-0.1716574480259414,,
2010-06-06,Sunday,2010-22,3.9933333333333336,3.9266666666666667,0.06666666666666687,1.697792869269965,-0.08340283569640006,0.0849617672047609,-0.17136600923470802,,
2010-06-07,Monday,2010-23,3.99,3.93,0.06000000000000005,1.526717557251911,-0.08347245409014992,0.0848896434634927,-0.17107531201805415,,
2010-06-08,Tuesday,2010-23,4.0025,3.92,0.08250000000000046,2.104591836734704,0.3132832080200654,-0.2544529262086592,0.5778742794827929,,
2010-06-09,Wednesday,2010-23,4.01,3.92,0.08999999999999986,2.2959183673469274,0.1873828856964188,0.0,0.1913265306122236,,
2010-06-10,Thursday,2010-23,4.04,3.92,0.1200000000000001,3.0612244897959107,0.7481296758104827,0.0,0.7653061224489832,,
2010-06-11,Friday,2010-23,4.01,3.92,0.08999999999999986,2.2959183673469274,-0.7425742574257432,0.0,-0.7653061224489832,,
2010-06-12,Saturday,2010-23,4.006666666666667,3.9233333333333333,0.08333333333333348,2.124044180118956,-0.08312551953448821,0.08503401360544505,-0.17187418722797165,,
2010-06-13,Sunday,2010-23,4.003333333333333,3.9266666666666667,0.07666666666666622,1.952461799660421,-0.08319467554077642,0.0849617672047609,-0.1715823804585348,,
2010-06-14,Monday,2010-24,4.0,3.93,0.06999999999999984,1.781170483460559,-0.08326394671106518,0.0848896434634927,-0.17129131619986193,,
2010-06-15,Tuesday,2010-24,4.0225,3.93,0.0924999999999998,2.3536895674300284,0.5624999999999991,0.0,0.5725190839694694,,
2010-06-16,Wednesday,2010-24,4.02,3.93,0.08999999999999941,2.2900763358778553,-0.06215040397763438,0.0,-0.06361323155217313,,
2010-06-17,Thursday,2010-24,4.03,3.93,0.10000000000000009,2.5445292620865256,0.24875621890549926,0.0,0.2544529262086703,,
2010-06-18,Friday,2010-24,4.0275,3.93,0.0974999999999997,2.4809160305343525,-0.062034739454108756,0.0,-0.06361323155217313,,
2010-06-19,Saturday,2010-24,4.0275,3.93,0.0974999999999997,2.4809160305343525,0.0,0.0,0.0,,
2010-06-20,Sunday,2010-24,4.0275,3.93,0.0974999999999997,2.4809160305343525,0.0,0.0,0.0,,
2010-06-21,Monday,2010-25,4.0275,3.93,0.0974999999999997,2.4809160305343525,0.0,0.0,0.0,,
